"CÓDIGO ÓRGÃO SUPERIOR";"NOME ÓRGÃO SUPERIOR";"CÓDIGO ÓRGÃO";"NOME ÓRGÃO";"CÓDIGO UNIDADE GESTORA";"NOME UNIDADE GESTORA";"CATEGORIA ECONÔMICA";"ORIGEM RECEITA";"ESPÉCIE RECEITA";"DETALHAMENTO";"VALOR PREVISTO ATUALIZADO";"VALOR LANÇADO";"VALOR REALIZADO";"PERCENTUAL REALIZADO";"DATA LANÇAMENTO";"ANO EXERCÍCIO"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarcimentos";"RESTITUIÇÃO DE CONVÊNIOS-PRIMÁRIAS-DÍV.ATIVA";"0,00";"0,00";"4701,23";"0,00";"19/03/2020";"2020"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarcimentos";"RESTITUIÇÃO DE CONVÊNIOS-PRIMÁRIAS-DÍV.ATIVA";"0,00";"0,00";"-80366,64";"0,00";"01/06/2020";"2020"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarcimentos";"RESTITUIÇÃO DE CONVÊNIOS-PRIMÁRIAS-DÍV.ATIVA";"0,00";"0,00";"616,57";"0,00";"22/04/2020";"2020"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarcimentos";"RESTITUIÇÃO DE CONVÊNIOS-PRIMÁRIAS-DÍV.ATIVA";"0,00";"0,00";"0,00";"0,00";"10/06/2020";"2020"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarcimentos";"RESTITUIÇÃO DE CONVÊNIOS-PRIMÁRIAS-DÍV.ATIVA";"0,00";"0,00";"5516,90";"0,00";"28/04/2020";"2020"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarcimentos";"RESTITUIÇÃO DE CONVÊNIOS-PRIMÁRIAS-DÍV.ATIVA";"0,00";"0,00";"2954,33";"0,00";"14/05/2020";"2020"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas de Capital";"Operações de Crédito";"Operações de crédito - mercado interno";"TITULOS DE RESPONS.TES.NAC.-MERC.INT.-PRINC.";"1491430372,00";"0,00";"0,00";"0,00";"20/01/2020";"2020"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarcimentos";"RESTITUIÇÃO DE CONVÊNIOS-PRIMÁRIAS-DÍV.ATIVA";"0,00";"0,00";"5531,46";"0,00";"28/05/2020";"2020"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarcimentos";"RESTITUIÇÃO DE CONVÊNIOS-PRIMÁRIAS-DÍV.ATIVA";"0,00";"0,00";"2946,81";"0,00";"15/04/2020";"2020"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarcimentos";"RESTITUIÇÃO DE CONVÊNIOS-PRIMÁRIAS-DÍV.ATIVA";"0,00";"0,00";"1517,85";"0,00";"15/05/2020";"2020"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarcimentos";"RESTITUIÇÃO DE CONVÊNIOS-PRIMÁRIAS-DÍV.ATIVA";"0,00";"0,00";"731,87";"0,00";"26/05/2020";"2020"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarcimentos";"RESTITUIÇÃO DE CONVÊNIOS-PRIMÁRIAS-DÍV.ATIVA";"0,00";"0,00";"4563,01";"0,00";"04/05/2020";"2020"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarcimentos";"RESTITUIÇÃO DE CONVÊNIOS-PRIMÁRIAS-DÍV.ATIVA";"0,00";"0,00";"5420,26";"0,00";"31/03/2020";"2020"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarcimentos";"RESTITUIÇÃO DE CONVÊNIOS-PRIMÁRIAS-DÍV.ATIVA";"0,00";"0,00";"22534,24";"0,00";"06/05/2020";"2020"
